iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,targsubtype1_txt,target1,gname,weaptype1_txt,nkill,nwound,summary,scite1,date
2000,2,17,Jammu and Kashmir,Sumbal,Assassination,Military,Military Unit/Patrol/Convoy,"Faiyaz Ahmad, commander of a counter-insurgency unit",Hizbul Mujahideen (HM),Explosives,2.0,2.0,"02/17/2000: Hizb-ul-Mujahidin (HM) claimed responsibility for killing Faiyaz Ahmad, a counter-insurgency unit commander, with a mine that was placed underneath his car. An associate was killed and two bodyguards were injured in the explosion as well. The attack occurred in the town of Sumbal located in India's northern Jammu and Kashmir State.","Qaiser Mirza, ""Shops closed in protest, army-linked commando killed in Kashmir,"" The Associated Press, February 17, 2000.",2000-02-17
2000,2,18,Jammu and Kashmir,Kahlil,Bombing/Explosion,Police,Police Security Forces/Officers,Police Officers in Kashmir,Separatists,Explosives,10.0,6.0,"02/18/2000: A landmine explosion in Kashmir, India, killed ten people, including nine police officers and one civilian. Six people were also injured in the blast. Kashmiri separatists were suspected in the attack.","""10 killed in bomb blast in Indian Kashmir,” Japan Economic Newswire, February 18, 2000.",2000-02-18
2000,2,18,Jammu and Kashmir,Bijbehara,Bombing/Explosion,Military,Paramilitary,Border Security Force (BSF) Members in Kashmir,Separatists,Explosives,0.0,7.0,"02/18/2000: Seven Border Security Force (BSF) members were injured by a landmine on the Bijbehra-Pahalgam road in Kashmir, India. Kashmiri separatists were suspected in the attack.","""10 killed in bomb blast in Indian Kashmir,” Japan Economic Newswire, February 18, 2000.",2000-02-18
2000,3,5,Jammu and Kashmir,Badampura,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,"Indian Army Post at Badampura, India",Unknown,Firearms,12.0,4.0,"03/05/2000: Kashmiri militants attacked an Indian Army post in Badampura, India. Twelve Indian soldiers were killed in the attack, and four others were injured. A major search operation to apprehend the militants was launched soon after the attack.","“Twelve Indian Soldiers Killed in Kashmir,” Islamabad Radio Pakistan, March 6, 2000.",2000-03-05
2000,3,14,Jammu and Kashmir,Thanamandi,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Thanna Mandi Army Post in India,Lashkar-e-Taiba (LeT),Firearms,2.0,0.0,"03/14/2000: Three to four perpetrators attempted to strike at an army post in Thanna Mandi, India. One perpetrator and a soldier were killed and another perpetrator was seriously wounded in the attack.","“Two Killed in Militant Attack on Army Post in Kashmir,” Jammu Daily Excelsior, March 14, 2000.",2000-03-14
2000,3,18,Jammu and Kashmir,Srinagar,Bombing/Explosion,Journalists & Media,Television Journalist/Staff/Facility,Srinagar Television Center,Unknown,Explosives,0.0,0.0,"03/18/2000: Three grenades were fired at the Srinagar Doordarshan Kendra broadcast center in Srinagar, India. The grenades were fired from the Rajbagh Colony from across the Jhelum river. No one was hurt in the attack. The attack caused minor damage.","“Ultras Make Abortive Attempt to Blow Up Srinagar TV Center,” New Delhi Doordarshan, March 18, 2000.",2000-03-18
2000,3,21,Jammu and Kashmir,Chadisinghpoora,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Chadisinghpoora, India",Lashkar-e-Taiba (LeT),Firearms,35.0,1.0,"03/21/2000: About 30-40 unidentified Muslim militants massacred 35 Sikhs in Chadisinghpoora, India. Militants marched civilians from their houses and gathered them in the center of the village where they separated women and opened fire on the men. Some 34 Sikhs aged between 18 and 40 died in the attack, and one person was critically injured. In arrests which followed the attack the Indian government blamed Lashkar-e Taiba and the Hizb-ul-Mujahidin (HM)organizations for carrying out the attack.","“Muslim Militants Kill 35 in Kashmir as Clinton Tour Begins,” Agence France Presse, March 21, 2000.",2000-03-21
2000,4,12,Jammu and Kashmir,Rawalpora,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,"Convoy of Army vehicles carrying army personnel at Rawalpora bypass on the outskirts of Srinagar, Jammu and Kashmir, India",Unknown,Explosives,0.0,1.0,"04/12/2000: A car packed with explosives was detonated by remote control by militants at Rawalpora bypass on the outskirts of Srinagar, Jammu and Kashmir, India. The target was a convoy of vehicles carrying Indian Army personnel. One bystander was seriously injured. No group claimed responsible, and the perpetrators were unknown.","“Kashmir Violence—Car Bomb Explodes in Kashmir Capital,” Hindustan Times, April 12, 2000.",2000-04-12
2000,4,15,Jammu and Kashmir,Srinagar,Bombing/Explosion,Journalists & Media,Television Journalist/Staff/Facility,Radio Kashmir Srinagar (RKS) building in India,Unknown,Explosives,0.0,0.0,"04/15/2000: Radio Kashmir Srinagar (RKS) was the target of a bomb attack in Srinagar, India. The bomb did minor damage to the boundary wall, but the transmitter and buildings were undamaged. The perpetrators were unknown.","“More on Bomb Blast at Radio Kashmir Complex,” Daily Excelsior, April 16, 2000.",2000-04-15
2000,4,19,Jammu and Kashmir,Sopore,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,"Indian Army’s 15 Corps headquarters in Badami Bagh, India",Jaish-e-Mohammad (JeM),Explosives,1.0,7.0,"04/19/2000: A suicide car bomber exploded his vehicle just outside of the Indian Army’s 15 Corps headquarters in Badami Bagh, India. Four army personnel and three civilians were injured, and the bomber was killed instantly. It was later discovered that the suicide bomber belonged to Jaysh-e Muhammad (Army of Muhammad).","“More on Suicide Attack in Kashmir,” Daily Excelsior, April 20, 2000.",2000-04-19
2000,4,19,Jammu and Kashmir,Sopore,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,"Army convoy passing through Sopore, India",Unknown,Explosives,2.0,28.0,"04/19/2000: Two people were killed and 20 injured in a grenade attack at the Iqbal market in Sopore, India. The target was a convoy of army personnel passing through the market at the time. An additional eight people were injured by automatic weapons fire when the army personnel reacted to the attack. The perpetrators were unknown.","“More on Suicide Attack in Kashmir,” Daily Excelsior, April 20, 2000.",2000-04-19
2000,4,26,Jammu and Kashmir,Chak Mohammad Yar,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Chak Mohd Yar, India",Unknown,Explosives,0.0,0.0,"04/26/2000: A bicycle seat was found filled with RDX explosives and disarmed in Chak Mohd Yar, India. It weighed about 4 kgs, had a timing device, and was disarmed by the bomb squad. Officials suspected that civilians were the target of the attack.","“Police Defuse Powerful EDX-Filled Cycle Bomb in Kashmir,” Daily Excelsior, April 27, 2000.",2000-04-26
2000,4,28,Jammu and Kashmir,Sher Bagh,Bombing/Explosion,Police,Police Checkpoint,"Police checkpoint in Sher Bagh, India",Unknown,Explosives,1.0,6.0,"04/28/2000: One student was killed and four policemen and two civilians wounded by a bomb targeted at a police checkpoint in Sher Bagh, India. The bomb was made of plastic explosives. No group claimed responsibility for the attack.","“AFP: 1 Killed, 8 Injured in Bomb Blasts in Indian Kashmir,” Agence France Presse, April 29, 2000.",2000-04-28
2000,4,28,Jammu and Kashmir,Anantnag,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),"Police patrol in Anantnag, India",Unknown,Explosives,0.0,2.0,"04/28/2000: Two people were wounded by a grenade attack which was intended for a security patrol in Anantnag, India. No group claimed responsibility.","“AFP: 1 Killed, 8 Injured in Bomb Blasts in Indian Kashmir,” Agence France Presse, April 29, 2000.",2000-04-28
2000,5,7,Jammu and Kashmir,Srinagar,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Srinagar Secretariat,Unknown,Explosives,0.0,0.0,"05/07/2000: Late in the evening on May 8, 2000, the Indian police forces in Srinagar, Kashmir discovered a car full of explosives approximately 500 meters from the Secretariat compound. The car contained over 150 kilograms of explosive material. No group has taken credit for the attack but the government suspected Islamic militants.","Surinder Oberoi, “Security Clampdown in Kashmir as Government Moves to Summer Capital,” Agence France Presse, May 8, 2000.",2000-05-07
2000,5,15,Jammu and Kashmir,Mandi Pora,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Ghulam Hassan Bhat,Hizbul Mujahideen (HM),Explosives,5.0,2.0,"05/15/2000: Ghulam Hassan Bhat, a government minister for the Indian Government in Jammu and Kashmir state was assassinated on the morning of May 15, 2000. Four others were killed and 2 were injured. Hizb-ul-Mujahidin (HM) claimed responsibility.","""Costly Procrastination,"" Global News Wire, May 17,2000.",2000-05-15
2000,5,15,Jammu and Kashmir,Mandi Pora,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Mr. Ghulam Hassan Bhat,Hizbul Mujahideen (HM),Explosives,5.0,2.0,"05/15/2000: The Jammu and Kashmir Minister of State for Power, Mr. Ghulam Hassan Bhat, and four others were killed in a powerful explosion near Mandipore in Anantnag district in India's Kashmir. Two policemen were also injured in the blast. The pro-Pakistan militant outfit, Hizb-ul-Mujahidin (HM), claimed responsibility for the blast.","“Jammu & Kashmir Minister, 4 others killed in blast,” The Hindu, May 16, 2000.",2000-05-15
2000,5,19,Jammu and Kashmir,Srinagar,Bombing/Explosion,Government (General),Government Building/Facility/Office,Kashmir State Assembly building in Srinagar,Unknown,Explosives,0.0,6.0,"05/19/2000: Six people, including three children, were injured when a rocket fired at the Kashmir state assembly in Srinagar, India, exploded short of the target. Police blamed separatist Islamic militants for the rocket attack; but there were no claims of responsibility.","“Six Injured in Muslim Militants' Rocket Attack in Kashmir,” Hong Kong Agence France Presse, May 19, 2000.",2000-05-19
2000,5,22,Jammu and Kashmir,Srinagar,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Civil Secretariat Building in Srinagar,Unknown,Explosives,1.0,3.0,"05/22/2000: One person was killed and three others were injured when suspected Islamic militants fired eight grenades at the Civil Secretariat in Srinagar, in the Kashmir state of India. The grenades exploded just short of the Secretariat building.","""Militants Stage New Attack on Kashmir State Headquarters,” Agence France Presse, May 22, 2000.",2000-05-22
2000,5,28,Jammu and Kashmir,Srinagar,Bombing/Explosion,Tourists,Tourist,Indiscriminate Civilians in a Tourist Area of Srinagar,Unknown,Explosives,2.0,12.0,"05/28/2000: Two people were killed and 12 were injured as a result of a bomb blast triggered by suspected Islamic militants in Srinagar, Jammu and Kashmir, India. Police suspected that Bilal Ahmad, a militant and one of those killed in the blast, may have been the perpetrator responsible for the bombing.","""Eight injured in bomb blast in Indian Kashmir,” Agence France Presse, May 28, 2000.",2000-05-28
2000,5,29,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,Police Security Forces/Officers,A Police Party in Srinagar,Unknown,Explosives,0.0,8.0,"05/29/2000: Unknown attackers threw two grenades at police officers in a busy section of Srinagar, India, however, the grenades fell short of their target and instead injured eight civilians.","""Kashmir: Four dead in recent violence,” BBC, May 29, 2000.",2000-05-29
2000,5,29,Jammu and Kashmir,Shopian,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,"Major M V Ramnee and Three of his men, on Patrol in Shopian",Unknown,Explosives,0.0,4.0,"05/29/2000: Four army personnel were injured when unknown attackers threw a grenade at their patrol in Shopian, Kashmir, India.","""Major among four soldiers injured in grenade blast,” Press Trust of India, May 29, 2000.",2000-05-29
2000,6,2,Jammu and Kashmir,Magam,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Moulvi Iftikhar Ansari, a Senior Legislator of the Opposition Congress Party",Unknown,Explosives,11.0,6.0,"06/02/2000: A senior legislator from India's main Opposition Congress Party, Moulvi Iftikhar Ansari, and ten of his supporters were injured in a grenade attack near the Magam township in Indian Kashmir. Hizb-ul-Mujahidin (HM) was first claimed responsibility for the incident but later denied responsibility in an announcement.","""Indian legislator injured, 11 killed in Kashmir bomb explosion"", AFX, June 02, 2000.",2000-06-02
2000,6,4,Jammu and Kashmir,Srinagar,Armed Assault,Police,Police Security Forces/Officers,Policemen in Batmaloo,Jaish-e-Mohammad (JeM),Firearms,2.0,0.0,"06/04/2000: Two constables of the Jammu and Kashmir armed police were gunned down by militants at a bus stand in Batmaloo, Srinagar, India. A Pakistan-based militant group, Jaysh-e Muhammad (Army of Muhammad) claimed responsibility for the attacks.","""Three Cops Among 5 Killed in Militant Attacks in Kashmir"", New Delhi All India Radio, June 04, 2000.",2000-06-04
2000,6,4,Jammu and Kashmir,Srinagar,Armed Assault,Police,Police Security Forces/Officers,Policemen in Wazirbagh,Jaish-e-Mohammad (JeM),Firearms,1.0,1.0,"06/04/2000: Militants fired at police officers in Wazirbagh, India, killing one and seriously injuring another. A Pakistan-based militant group, Jaysh-e Muhammad (Army of Muhammad)claimed responsibility for the attacks.","""Three Cops Among 5 Killed in Militant Attacks in Kashmir"", New Delhi All India Radio, June 04, 2000.",2000-06-04
2000,6,4,Jammu and Kashmir,Srinagar,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Indiscriminate Civilians in Bemina,Unknown,Firearms,3.0,0.0,"06/04/2000: Unidentified militants shot dead three civilians including an activist of Kashmir's ruling National Conference party in Bemina, Srinagar, India.","""Three Cops Among 5 Killed in Militant Attacks in Kashmir"", New Delhi All India Radio, June 04, 2000.",2000-06-04
2000,6,7,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",A Police Headquarters in Srinagar,Unknown,Explosives,0.0,0.0,"06/07/2000: Unknown Jammu and Kashmir militants made an abortive attack on the heavily-guarded police headquarters in Srinagar, India. According to police sources, the attackers fired 8 grenades from grenade launchers at the building, but while four exploded in the air, three fell on adjoining houses and one on the road. The attack was reported to have caused only limited damage to structures and no casualties.","""Grenade attack as PM tours J&K"", The Statesman, June 07, 2000.",2000-06-07
2000,6,13,Jammu and Kashmir,Kunzer,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Ghulam Muhammad Reshi, a Block President of the National Conference Party",Unknown,Firearms,2.0,0.0,"06/13/2000: Ghulam Muhammad Reshi, a block president of the Kashmir's ruling National Conference Party, and his Personal Security Officer (PSO) were killed by suspected Islamic militants in an ambush near a health resort in Kunzar-Tangmarg, 40 kilometers (25 miles) north of Srinagar, India.","""12 killed in separatist-linked violence in Indian Kashmir"", Agence France Presse, June 13, 2000.",2000-06-13
2000,6,28,Jammu and Kashmir,Srinagar,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)","Civil Secretariat in Kashmir, Chief Minister Farooq Abdullah",Unknown,Explosives,0.0,4.0,"06/28/2000: Militants fired nine rifle grenades towards the Civil Secretariat of Kashmir, Chief Minister Farooq Abdullah, in Srinagar, India. Four people were injured in the attack and two vehicles were damaged. Chief Minister Farooq Abdullah was not hit by the grenades. No group claimed responsibility for the attack.","“Militants Fire Grenades at Civil Secretariat in Kashmir,” Hindustan Times, June 29, 2000.",2000-06-28
2000,7,12,Jammu and Kashmir,Ladakh,Armed Assault,Religious Figures/Institutions,Religious Figure,Monks at the Rungdum monastery,Unknown,Firearms,3.0,0.0,"07/12/2000: Three Buddhist monks were killed at the Rungdum monastery in Ladakh, Jammu and Kashmir State, by unknown gunmen suspected of reacting to comments made by a Buddhist spokesman.","""Three monks killed in Kargil,” The Statesman (India), July 13, 2000.",2000-07-12
2000,7,24,Jammu and Kashmir,Sopore,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Ghulam Jeelani Wani, the president of the Jammu and Kashmir Democratic Freedom Party and general secretary of the Baramulla Bar Association",Gunmen,Firearms,1.0,0.0,"7/24/2000: Ghulam Jeelani Wani, the president of the Jammu and Kashmir Democratic Freedom Party and general secretary of the Baramulla Bar Association, was shot and killed in Sopore, Baramulla district, India. Two unidentified assailants on a scooter shot him point blank while he was on his way to Baramulla district court. Some sources blame the killing on pro-Indian groups.","""Prominent advocate shot dead in Kashmir,"" Press Trust of India, July 24, 2000.",2000-07-24
2000,7,30,Jammu and Kashmir,Gulmarg,Bombing/Explosion,Tourists,Tourist,Hindu pilgrims in Gulmarg,Unknown,Explosives,1.0,5.0,"07/30/2000: Suspected Islamic militants threw a grenade at a taxi carrying Hindu pilgrims in Gulmarg, Indian Kashmir, killing one and injuring five others.","“One Hindu pilgrim killed, five injured in Kashmir grenade attack,” Agence France Presse, July 30, 2000.",2000-07-30
2000,8,0,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",Civilians in the vicinity of a garbage can near Dal Lake in Srinagar,Hizbul Mujahideen (HM),Explosives,0.0,4.0,"8/12/2000: A grenade that was hidden in a garbage can detonated near a famous shrine by Dal Lake, in Srinagar, India. Four people were injured in the attack, including two Hungarian tourists. Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack. The group called on the public to boycott the independence day celebrations. The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted. This incident was one of a series of attacks leading up to independence day.","Peter Popham, ""Five die as Kashmiri separists step up campaign of bombings,"" The Independent, August 14, 2000.",
2000,8,1,Jammu and Kashmir,Pahalgam,Armed Assault,Private Citizens & Property,Religion Identified,"Civilians traveling to a shrine close to Pahalgam base camp in Kashmir, India",Unknown,Firearms,35.0,94.0,"08/01/2000: Thirty-five people were gunned by suspected Islamic guerrillas on their voyage to a shrine close to Pahalgam base camp in Kashmir, India. 94 more were injured before Indian security forces had a chance to respond and retaliate. The Indian government has blamed the act on Pakistani-supported militants.","""Indian premier blames Pakistan-directed militants for Kashmir violence; 80 killed,” British Broadcasting Corporation, August 3, 2000.",2000-08-01
2000,8,10,Jammu and Kashmir,Srinagar,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,"Indian Security Forces in the Regal Chowk area in Srinagar, India",Hizbul Mujahideen (HM),Explosives,10.0,18.0,"08/10/2000: A powerful car bomb detonated in the Regal Chowk area in Srinagar, killing ten civilians and injuring at least 18. The explosion damaged nearby buildings and vehicles. Hizb-ul-Mujahidin (HM) claimed responsibility for the bombing stating that it had been targeting Indian security forces as representatives of Indian actions toward Pakistanis in Kashmir.","""Hizbul Mujahideen Defends Bomb Attack in Kashmir,” Agence France Presse, August 11, 2000.",2000-08-10
2000,8,13,Jammu and Kashmir,Kud,Bombing/Explosion,Military,Paramilitary,Members of the Border Security Force (BSF) paramilitary traveling between Jammu and Srinagar,Hizbul Mujahideen (HM),Explosives,4.0,32.0,"8/13/2000: A powerful land mine detonated under a bus traveling near Kud between Jammu and Srinagar, India. The bus was transporting members of the Border Security Force (BSF) paramilitary. At least four soldiers were killed and 32 injured. Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack. The group called on the public to boycott the independence day celebrations. The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted. This incident was one of a series of attacks leading up to independence day.","Peter Popham, ""Five die as Kashmiri separists step up campaign of bombings,"" The Independent, August 14, 2000.",2000-08-13
2000,8,13,Jammu and Kashmir,Jammu,Bombing/Explosion,Military,Paramilitary,Members of the Border Security Force (BSF) paramilitary,Hizbul Mujahideen (HM),Explosives,1.0,6.0,"8/13/2000: A powerful land mine detonated between Jammu and Srinagar, India. The bomb was targeting members of the Border Security Force (BSF) paramilitary who were in the area inspecting an earlier blast. At least one soldier was killed and six injured. Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack. The group called on the public to boycott the independence day celebrations. The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted. This incident was one of a series of attacks leading up to independence day.","Peter Popham, ""Five die as Kashmiri separists step up campaign of bombings,"" The Independent, August 14, 2000.",2000-08-13
2000,8,13,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,Civilians in or near the pleasure gardens,Hizbul Mujahideen (HM),Explosives,0.0,0.0,"8/13/2000: An explosive device detonated near a popular pleasure garden in Srinagar, India. No one was injured in the attack, but the explosion caused minor damage. Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack. The group called on the public to boycott the independence day celebrations. The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted. This incident was one of a series of attacks leading up to independence day.","Peter Popham, ""Five die as Kashmiri separists step up campaign of bombings,"" The Independent, August 14, 2000.",2000-08-13
2000,8,13,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians and structures on Boulevard Road,Hizbul Mujahideen (HM),Explosives,0.0,0.0,"8/13/2000: An explosive device detonated on Boulevard Road in Srinagar, India. No one was injured in the attack. Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack. The group called on the public to boycott the independence day celebrations. The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted. This incident was one of a series of attacks leading up to independence day.","Peter Popham, ""Five die as Kashmiri separists step up campaign of bombings,"" The Independent, August 14, 2000.",2000-08-13
2000,8,16,Jammu and Kashmir,Bijbehara,Bombing/Explosion,Police,Police Security Forces/Officers,Police officers in Bijbehara town,Militants,Explosives,0.0,11.0,"8/16/2000: Militants hurled a grenade at a police patrol in Bijbehara township, Jammu and Kashmir, India. The grenade missed the patrol and landed in the crowded Bijbehara Bazar, causing injury to 11 civilians. The attack occurred one day after the country celebrated Independence Day. No group has claimed responsibility for the attack.","Qaiser Mirza, ""Grenade attack injures 12 in Kashmir,"" Associated Press, August 16, 2000.",2000-08-16
2000,8,17,Jammu and Kashmir,Kot Dhara,Armed Assault,Private Citizens & Property,Religion Identified,Hindu civilians in Koddara village,Muslim Militants,Firearms,6.0,6.0,"8/17/2000: At least eight suspected Muslim militants opened fire on Hindu villagers in Koddara village, Rajouri district, India. Six villagers were killed in the attack. Another six villagers, including a baby, were wounded. Several of the victims were members of a village defense committee that was set up to serve a protective function against similar attacks. No group claimed responsibility for the attack.","""Six Hindus slain in Kashmir by suspected Muslim militants,"" Agence France-Presse, August 18, 2000.",2000-08-17
2000,8,19,Jammu and Kashmir,Ind,Armed Assault,Private Citizens & Property,Religion Identified,"Members of the Mir Chand family, a Hindu family",Muslim Militants,Firearms,4.0,1.0,"8/19/2000: Five suspected Muslim militants attacked at least one Hindu family in Indeh village in Udhampur district, India. The assailants entered into the home of Mir Chand and opened fire with AK-47 assault rifles. Four villagers were killed and at least one critically injured. No group has claimed responsibility for the attack.","""Four more killed in India's Kashmir as violence increases,"" Dow Jones International News, August 20, 2000.",2000-08-19
2000,9,1,Jammu and Kashmir,Sangrama,Assassination,Religious Figures/Institutions,Affiliated Institution,"Maulvi Iftikhar Hussain Ansari, Shi'a leader",Unknown,Explosives,3.0,1.0,"09/01/2000: A land mine detonated at a bridge in Sangrama, Baramulla District, in India-administered Kashmir (Jammu and Kashmir State). The target was a prominent Shia leader, Mualvi Iftikhar Hussain Ansari--he was injured in the incident, and three of his personnel were killed. The perpetrators were militants operating in the area; it is unclear which group may be responsible. The local police suspects that a member of the Hizbul Momineen was behind the explosion because they were involved in an assassination attempt on the same target in June 2000.","""Kashmir Daily: Army Major, Five Militants Among Eight Killed in Encounters,"" Daily Excelsior (Internet Version-WWW), September 3, 2000.",2000-09-01
